t_sec,id1_shoulder_pan[mA],id2_shoulder_lift[mA],id3_elbow_flex[mA],id4_wrist_flex[mA],id5_wrist_roll[mA],id6_gripper[mA]
2.679,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0,0.0
2.721,0.0,0.0,0.0,0.0,0.0,0.0
2.758,0.0,0.0,0.0,0.0,0.0,0.0
2.779,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0,0.0,0.0
2.821,0.0,0.0,0.0,0.0,0.0,0.0
2.842,0.0,0.0,0.0,0.0,0.0,0.0
2.863,0.0,0.0,0.0,0.0,0.0,0.0
2.884,0.0,0.0,0.0,0.0,0.0,0.0
2.905,0.0,0.0,0.0,0.0,0.0,0.0
2.926,0.0,0.0,0.0,0.0,0.0,0.0
2.947,0.0,0.0,0.0,0.0,0.0,0.0
2.994,0.0,0.0,0.0,0.0,0.0,0.0
3.015,0.0,0.0,0.0,0.0,0.0,0.0
3.036,0.0,0.0,0.0,0.0,0.0,0.0
3.057,0.0,0.0,0.0,0.0,0.0,0.0
3.092,0.0,0.0,0.0,0.0,0.0,0.0
3.113,0.0,0.0,0.0,0.0,0.0,0.0
3.134,0.0,0.0,0.0,0.0,0.0,0.0
3.155,0.0,0.0,0.0,0.0,0.0,0.0
3.176,0.0,0.0,0.0,0.0,0.0,0.0
3.208,0.0,0.0,0.0,0.0,0.0,0.0
3.228,0.0,0.0,0.0,0.0,0.0,0.0
3.249,0.0,0.0,0.0,0.0,0.0,0.0
3.27,0.0,0.0,0.0,0.0,0.0,0.0
3.291,0.0,0.0,0.0,0.0,0.0,0.0
3.328,0.0,0.0,0.0,0.0,0.0,0.0
3.349,0.0,0.0,0.0,0.0,0.0,0.0
3.37,0.0,0.0,0.0,0.0,0.0,0.0
3.391,0.0,0.0,0.0,0.0,0.0,0.0
3.412,0.0,0.0,0.0,0.0,0.0,0.0
3.433,0.0,0.0,0.0,0.0,0.0,0.0
3.454,0.0,0.0,0.0,0.0,0.0,0.0
3.475,0.0,0.0,0.0,0.0,0.0,0.0
3.496,0.0,0.0,0.0,0.0,0.0,0.0
3.536,0.0,0.0,0.0,0.0,0.0,0.0
3.557,0.0,0.0,0.0,0.0,0.0,0.0
3.578,0.0,0.0,0.0,0.0,0.0,0.0
3.599,0.0,0.0,0.0,0.0,0.0,0.0
3.62,0.0,0.0,0.0,0.0,0.0,0.0
3.641,0.0,0.0,0.0,0.0,0.0,0.0
3.661,0.0,0.0,0.0,0.0,0.0,0.0
3.682,0.0,0.0,0.0,0.0,0.0,0.0
3.704,0.0,0.0,0.0,0.0,0.0,0.0
3.749,0.0,0.0,0.0,0.0,0.0,0.0
3.77,0.0,0.0,0.0,0.0,0.0,0.0
3.791,0.0,0.0,0.0,0.0,0.0,0.0
3.812,0.0,0.0,0.0,0.0,0.0,0.0
3.833,0.0,0.0,0.0,0.0,0.0,0.0
3.854,0.0,0.0,0.0,0.0,0.0,0.0
3.875,0.0,0.0,0.0,0.0,0.0,0.0
3.896,0.0,0.0,0.0,0.0,0.0,0.0
3.916,0.0,0.0,0.0,0.0,0.0,0.0
3.964,0.0,0.0,0.0,0.0,0.0,0.0
3.985,0.0,0.0,0.0,0.0,0.0,0.0
4.006,0.0,0.0,0.0,0.0,0.0,0.0
4.027,0.0,0.0,0.0,0.0,0.0,0.0
