t_sec,id1_shoulder_pan[%],id2_shoulder_lift[%],id3_elbow_flex[mA],id4_wrist_flex[mA],id5_wrist_roll[mA],id6_gripper[mA]
2.686,0.0,0.0,0.0,0.0,0.0,0.0
2.707,0.0,0.0,0.0,0.0,0.0,0.0
2.728,0.0,0.0,0.0,0.0,0.0,0.0
2.749,0.0,0.0,0.0,0.0,0.0,0.0
2.771,0.0,0.0,0.0,0.0,0.0,0.0
2.792,0.0,0.0,0.0,0.0,0.0,0.0
2.813,0.0,0.0,0.0,0.0,0.0,0.0
2.861,0.0,0.0,0.0,0.0,0.0,0.0
2.882,0.0,0.0,0.0,0.0,0.0,0.0
2.903,0.0,0.0,0.0,0.0,0.0,0.0
2.924,0.0,0.0,0.0,0.0,0.0,0.0
2.945,0.0,0.0,0.0,0.0,0.0,0.0
2.966,0.0,0.0,0.0,0.0,0.0,0.0
2.987,0.0,0.0,0.0,0.0,0.0,0.0
3.008,0.0,0.0,0.0,0.0,0.0,0.0
3.029,0.0,0.0,0.0,0.0,0.0,0.0
3.096,0.0,0.0,0.0,0.0,0.0,0.0
3.117,0.0,0.0,0.0,0.0,0.0,0.0
3.138,0.0,0.0,0.0,0.0,0.0,0.0
3.159,0.0,0.0,0.0,0.0,0.0,0.0
3.18,0.0,0.0,0.0,0.0,0.0,0.0
3.201,0.0,0.0,0.0,0.0,0.0,0.0
3.222,0.0,0.0,0.0,0.0,0.0,0.0
3.243,0.0,0.0,0.0,0.0,0.0,0.0
3.284,0.0,0.0,0.0,0.0,0.0,0.0
3.305,0.0,0.0,0.0,0.0,0.0,0.0
3.326,0.0,0.0,0.0,0.0,0.0,0.0
3.348,0.0,0.0,0.0,0.0,0.0,0.0
3.384,0.0,0.0,0.0,0.0,0.0,0.0
3.405,0.0,0.0,0.0,0.0,0.0,0.0
3.426,0.0,0.0,0.0,0.0,0.0,0.0
3.447,0.0,0.0,0.0,0.0,0.0,0.0
3.468,0.0,0.0,0.0,0.0,0.0,0.0
3.489,0.0,0.0,0.0,0.0,0.0,0.0
3.51,0.0,0.0,0.0,0.0,0.0,0.0
3.531,0.0,0.0,0.0,0.0,0.0,0.0
3.552,0.0,0.0,0.0,0.0,0.0,0.0
3.573,0.0,0.0,0.0,0.0,0.0,0.0
3.622,0.0,0.0,0.0,0.0,0.0,0.0
3.643,0.0,0.0,0.0,0.0,0.0,0.0
3.664,0.0,0.0,0.0,0.0,0.0,0.0
3.685,0.0,0.0,0.0,0.0,0.0,0.0
3.722,0.0,0.0,0.0,0.0,0.0,0.0
3.743,0.0,0.0,0.0,0.0,0.0,0.0
3.764,0.0,0.0,0.0,0.0,0.0,0.0
3.785,0.0,0.0,0.0,0.0,0.0,0.0
3.821,0.0,0.0,0.0,0.0,0.0,0.0
3.842,0.0,0.0,0.0,0.0,0.0,0.0
3.863,0.0,0.0,0.0,0.0,0.0,0.0
3.884,0.0,0.0,0.0,0.0,0.0,0.0
3.904,0.0,0.0,0.0,0.0,0.0,0.0
3.942,0.0,0.0,0.0,0.0,0.0,0.0
3.962,0.0,0.0,0.0,0.0,0.0,0.0
3.983,0.0,0.0,0.0,0.0,0.0,0.0
4.004,0.0,0.0,0.0,0.0,0.0,0.0
4.025,0.0,0.0,0.0,0.0,0.0,0.0
4.063,0.0,0.0,0.0,0.0,0.0,0.0
